TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent_pct,PaymentType_str
1,2025-05-04,1034,2059,402,0.0,2048.2,150.0,PayPal
2,2025-05-04,1066,2048,403,1.0,321.87,10.64,Credit Card
3,2025-05-04,1116,2041,403,3.0,3216.84,,Bitcoin
4,2025-05-04,1071,2096,404,2.0,1613.23,13.28,GiftCard
5,2025-05-04,1020,2060,401,0.0,408.38,17.35,WireTransfer
6,2025-05-04,1089,2028,401,0.0,1275.88,21.18,WireTransfer
7,2025-05-04,1193,2003,402,1.0,346.66,1.22,GiftCard
8,2025-05-04,1005,2079,402,1.0,855.49,11.46,WireTransfer
9,2025-05-04,1032,2060,401,1.0,735.08,0.47,WireTransfer
10,2025-05-04,1119,2089,403,2.0,661.63,8.62,GiftCard
11,2025-05-04,1042,2077,401,,505.65,20.61,GiftCard
12,2025-05-04,1079,2013,401,2.0,0.0,,GiftCard
13,2025-05-04,1147,2086,404,3.0,4470.5,9.23,WireTransfer
14,2025-05-04,1183,2025,401,1.0,503.32,10.79,WireTransfer
15,2025-05-04,1026,2089,403,0.0,413.52,2.44,GiftCard
16,2025-05-04,1144,2005,403,3.0,1715.12,28.28,GiftCard
17,2025-05-04,1169,2047,401,2.0,535.97,4.33,PayPal
18,2025-05-04,1003,2053,404,0.0,3660.9,,PayPal
19,2025-05-04,1110,2046,404,1.0,30.09,10.89,PayPal
20,2025-05-04,1111,2022,403,3.0,671.18,2.9,WireTransfer
21,2025-05-04,1119,2055,403,2.0,?,18.66,GiftCard
22,2025-05-04,1062,2011,403,3.0,1229.22,18.56,GiftCard
23,2025-05-04,1062,2096,404,3.0,672.18,27.27,PayPal
24,2025-05-04,1086,2003,404,2.0,924.43,1.58,PayPal
25,2025-05-04,1046,2062,402,2.0,1981.95,24.84,GiftCard
26,2025-05-04,1066,2043,403,2.0,698.76,17.45,CreditCard
27,2025-05-04,1142,2001,402,0.0,1237.05,19.5,PayPal
28,2025-05-04,1061,2092,404,3.0,482.21,4.98,WireTransfer
29,2025-05-04,1142,2097,402,3.0,4210.5,26.44,PayPal
30,2025-05-04,1165,2091,404,3.0,4528.95,18.42,GiftCard
31,2023-13-01,1004,2011,403,1.0,737.53,0.53,WireTransfer
32,2025-05-04,1103,2088,402,2.0,0.0,11.51,PayPal
33,2025-05-04,1169,2074,403,3.0,0.0,6.77,CreditCard
34,2025-05-04,1141,2067,403,3.0,872.85,12.89,WireTransfer
35,2025-05-04,1190,2070,403,2.0,54.69,5.9,GiftCard
36,2025-05-04,1179,2058,403,2.0,1066.8,12.51,GiftCard
37,2025-05-04,1064,2029,401,1.0,12.16,,WireTransfer
38,2025-05-04,1080,2015,402,1.0,3037.36,19.11,PayPal
39,2025-05-04,1055,2094,404,2.0,1578.72,11.64,PayPal
40,2025-05-04,1185,2075,403,0.0,0.0,14.37,WireTransfer
41,2025-05-04,9999,2037,402,2.0,288.11,23.32,WireTransfer
42,2025-05-04,1045,2038,401,1.0,1667.72,6.33,PayPal
43,2025-05-04,1070,2005,401,2.0,686.05,,CreditCard
44,2025-05-04,1178,2016,404,0.0,0.0,16.27,WireTransfer
45,2025-05-04,1003,2073,403,3.0,1498.29,10.97,CreditCard
46,2025-05-04,1122,2056,403,1.0,944.5,4.81,PayPal
47,2025-05-04,1013,2032,404,0.0,2836.8,9.51,GiftCard
48,2025-05-04,1016,2051,404,0.0,117.32,22.12,PayPal
49,2025-05-04,1147,2080,401,1.0,0.0,3.44,WireTransfer
50,2025-05-04,1038,2072,403,0.0,840.6,26.43,PayPal
51,2025-05-04,1063,2015,404,1.0,1214.95,20.03,WireTransfer
52,2025-05-04,1198,2066,404,3.0,516.06,9.85,CreditCard
53,2025-05-04,1113,2038,404,2.0,2223.62,7.69,PayPal
54,2025-05-04,1145,2079,401,0.0,1901.08,2.71,CreditCard
55,2025-05-04,1195,2026,402,2.0,507.74,25.13,PayPal
56,2025-05-04,1169,2010,402,1.0,140.11,13.02,WireTransfer
57,2025-05-04,1044,2070,401,1.0,0.0,9.73,CreditCard
58,2025-05-04,1000,2052,404,3.0,2193.78,,PayPal
59,2025-05-04,1074,2004,402,2.0,741.8,16.36,WireTransfer
60,2025-05-04,1180,2036,404,0.0,217.98,0.29,PayPal
61,2025-05-04,1175,2029,403,1.0,36.48,0.35,CreditCard
62,2025-05-04,1108,2014,402,1.0,221.67,29.12,CreditCard
63,2025-05-04,1068,2018,401,0.0,2169.04,28.81,PayPal
64,2025-05-04,1042,2039,403,3.0,2929.32,1.68,PayPal
65,2025-05-04,1031,2059,403,3.0,0.0,10.99,WireTransfer
66,2025-05-04,1069,2064,404,3.0,1470.2,14.54,WireTransfer
67,2025-05-04,1020,2076,401,3.0,4836.42,11.26,WireTransfer
68,2025-05-04,1188,2041,403,0.0,1608.42,12.27,WireTransfer
69,2025-05-04,1023,2029,401,2.0,0.0,29.85,PayPal
70,2025-05-04,1147,2005,402,3.0,0.0,,WireTransfer
71,2025-05-04,1132,2083,404,2.0,614.53,3.51,GiftCard
72,2025-05-04,1046,2074,404,3.0,659.5,23.21,PayPal
73,2025-05-04,1023,2060,403,3.0,1225.14,7.43,GiftCard
74,2025-05-04,1085,2041,401,1.0,1447.58,0.18,CreditCard
75,2025-05-04,1084,2052,404,2.0,2925.04,24.98,GiftCard
76,2025-05-04,1169,2051,401,3.0,117.32,2.22,PayPal
77,2025-05-04,1022,2040,403,2.0,55.26,23.9,PayPal
78,2025-05-04,1029,2098,404,0.0,3631.44,8.86,PayPal
79,2025-05-04,1168,2069,404,3.0,232.39,14.75,GiftCard
80,2025-05-04,1013,2024,403,3.0,372.81,,CreditCard
81,2025-05-04,1160,2056,401,1.0,472.25,0.97,GiftCard
82,2025-05-04,1068,2070,402,2.0,109.38,18.06,WireTransfer
83,2025-05-04,1112,2089,404,0.0,2067.6,16.09,WireTransfer
84,2025-05-04,1007,2080,402,1.0,1498.07,16.1,GiftCard
85,2025-05-04,1079,2070,401,3.0,34.18,26.82,PayPal
